activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,84.5,249.58399963378906,256.8154924765309,2.897418445634533,Alcista,90.0,alcista,73.9717377216869,2.897418445634546,3,1,4
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.86,234.00999450683594,243.08940111146424,3.879922575000563,Alcista,66.66666666666666,alcista,59.60493547756542,3.8799225750005584,3,2,7
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,270.6401062011719,274.7209844748601,1.507861614070904,Alcista,90.0,alcista,77.72002678424622,1.5078616140708985,4,1,8
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23419.173828125,23419.173828125,0.0,Neutral/Lateral,50.0,alcista,62.27939189578576,1.340394025986708,2,0,2
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,199.84010314941406,204.88176718198545,2.5228489943291805,Alcista,90.0,alcista,70.38939077890595,2.5228489943291783,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,264.4454040527344,275.8646068919232,4.318170277942003,Alcista,66.66666666666666,alcista,60.06754633752324,4.318170277942002,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101116.75,103455.88761108654,2.31330379100054,Alcista,75.0,bajista,35.62248763082633,2.3133037910005516,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3291.515869140625,3431.9628561721975,4.266939386448757,Alcista,75.0,bajista,30.470347181770407,4.2669393864487475,15,4,20
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,70.0,6777.81982421875,6777.81982421875,0.0,Neutral/Lateral,50.0,alcista,59.74010816204706,0.9323724694494513,3,2,6
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.93499755859375,190.93499755859375,0.0,Neutral/Lateral,50.0,alcista,58.37838473003961,2.989984381440683,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.1099853515625,649.3376030890969,2.888184018730209,Alcista,90.0,bajista,23.907260731545094,2.888184018730218,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,352.8699951171875,360.8530608178598,2.262324882006792,Alcista,90.0,alcista,70.27778415522994,2.2623248820067974,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.73500061035156,174.73500061035156,0.0,Neutral/Lateral,50.0,alcista,62.16020992315246,3.524470562412617,3,1,4
Illumina,ILMN,🟢 ALCISTA,✅ COMPRA,67.14,117.0,124.10386005488535,6.071675260585765,Alcista,66.66666666666666,alcista,72.5733618761076,6.071675260585762,4,2,7
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,65.0,357.44500732421875,357.44500732421875,0.0,Neutral/Lateral,50.0,alcista,53.36415142299457,3.2516772242717833,6,3,12
Tesla,TSLA,🟢 ALCISTA,✅ COMPRA,62.0,449.05999755859375,449.05999755859375,0.0,Neutral/Lateral,50.0,alcista,54.470082906841064,3.1024283283518534,4,3,10
Dow Jones,^DJI,🟢 ALCISTA,✅ COMPRA,62.0,47036.94140625,47036.94140625,0.0,Neutral/Lateral,50.0,alcista,61.27597673419924,0.7370845378026865,4,6,10
AMD,AMD,🟢 ALCISTA,✅ COMPRA,61.25,253.16310119628906,253.16310119628906,0.0,Neutral/Lateral,50.0,alcista,58.930372982563625,4.41758726735641,3,2,8
