activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Apple,AAPL,🟢 ALCISTA,✅ COMPRA,65.0,270.4939880371094,270.4939880371094,0.0,Neutral/Lateral,50.0,alcista,67.7033981268683,0.24574059694994974,10,8,20
MongoDB,MDB,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,56.5,354.2300109863281,354.2300109863281,0.0,Neutral/Lateral,50.0,bajista,28.48908474069698,0.8145802032377485,11,9,20
Snowflake,SNOW,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,56.5,266.3949890136719,266.3949890136719,0.0,Neutral/Lateral,50.0,bajista,19.449001426533528,0.43205312293390197,11,9,20
Broadcom,AVGO,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,55.0,359.30999755859375,359.30999755859375,0.0,Neutral/Lateral,50.0,bajista,18.45173033458076,0.5001112793690408,10,10,20
Cloudflare,NET,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,53.5,235.0399932861328,235.0399932861328,0.0,Neutral/Lateral,50.0,bajista,12.209752897689356,1.0938731227712177,9,11,20
Qualcomm,QCOM,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,53.5,174.80999755859375,174.80999755859375,0.0,Neutral/Lateral,50.0,bajista,16.612703957738674,0.3063151982860572,9,10,20
Tesla,TSLA,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.0,450.260009765625,450.260009765625,0.0,Neutral/Lateral,50.0,bajista,27.060428020641368,0.6073767766422945,8,11,20
NASDAQ,^IXIC,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.0,23446.046875,23446.046875,0.0,Neutral/Lateral,50.0,bajista,20.87961672705073,0.2517254946348119,8,10,20
NIO,NIO,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,48.5,7.280099868774414,7.280099868774414,0.0,Neutral/Lateral,50.0,bajista,43.56974548806232,0.5683136192842019,9,11,20
Meta,META,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,47.0,632.5,632.5,0.0,Neutral/Lateral,50.0,bajista,41.78630237024398,1.1803189655868158,8,11,20
Plata,SI=F,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,47.0,47.04499816894531,47.04499816894531,0.0,Neutral/Lateral,50.0,bajista,54.07712533439861,0.22674443683130394,8,8,20
Netflix,NFLX,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,1092.949951171875,1092.949951171875,0.0,Neutral/Lateral,50.0,bajista,39.898762344373544,0.379893245132777,10,9,20
Intel,INTC,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,37.59000015258789,37.59000015258789,0.0,Neutral/Lateral,50.0,bajista,37.47204472843451,0.5636232971855686,10,9,20
Palantir,PLTR,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,43.5,191.92100524902344,191.92100524902344,0.0,Neutral/Lateral,50.0,bajista,36.98193694439971,0.9918678734194,9,10,20
NVIDIA,NVDA,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,42.0,200.4199981689453,200.4199981689453,0.0,Neutral/Lateral,50.0,bajista,37.87249035556033,0.5337646038790128,8,11,20
Shopify,SHOP,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,33.71,162.56500244140625,161.51374217785352,-0.6466707149539416,Bajista,60.97560975609756,bajista,16.378045342116394,0.6466707149539334,8,11,20
Datadog,DDOG,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,33.43,157.18499755859375,156.4631886895087,-0.4592097721132513,Bajista,61.904761904761905,bajista,14.708176084857755,0.4592097721132501,8,12,20
AMD,AMD,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,33.16,252.5449981689453,251.13999696999736,-0.556336973266068,Bajista,62.7906976744186,bajista,23.527407699618053,0.5563369732660748,8,12,20
Advanced Micro Devices,AMD,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,33.16,252.5449981689453,251.13999696999736,-0.556336973266068,Bajista,62.7906976744186,bajista,23.527407699618053,0.5563369732660748,8,12,20
Bitcoin,BTC-USD,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,32.98,100517.1015625,100298.08010548457,-0.21789472001363933,Bajista,63.41463414634146,bajista,7.7355632733811746,0.2178947200136473,8,11,20
Dow Jones,^DJI,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,32.17,47047.7109375,46981.683123296454,-0.14034224596231634,Bajista,61.111111111111114,bajista,23.578846394461365,0.14034224596230974,7,10,20
Robinhood,HOOD,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,31.27,140.7550048828125,139.5312728514687,-0.8694056970568265,Bajista,64.1025641025641,bajista,22.023132419742723,0.8694056970568298,7,11,20
Amazon,AMZN,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,30.27,250.06500244140625,247.02529165872457,-1.2155682534559902,Bajista,67.44186046511628,bajista,14.285854768234273,1.2155682534559886,7,12,20
S&P 500,^GSPC,🟠 NEUTRAL-BAJISTA,📉 CONSIDERAR VENTA,27.78,6782.31982421875,6770.779410167308,-0.17015437712377882,Bajista,70.73170731707317,bajista,21.241847300599474,0.17015437712377918,6,12,20
Oro,GC=F,🟠 NEUTRAL-BAJISTA,📉 CONSIDERAR VENTA,26.55,3943.199951171875,3936.193679496688,-0.17767984788863156,Bajista,63.1578947368421,bajista,42.54832796355961,0.1776798478886291,7,11,20
Google,GOOGL,🟠 NEUTRAL-BAJISTA,📉 CONSIDERAR VENTA,25.74,278.3399963378906,277.12186494026525,-0.43764152247333543,Bajista,65.85365853658537,bajista,42.15355896890927,0.437641522473329,7,12,20
First Solar,FSLR,🔴 BAJISTA,📉 CONSIDERAR VENTA,21.27,263.7850036621094,260.52727722561843,-1.2349930402654226,Bajista,64.1025641025641,bajista,39.12862274135614,1.2349930402654306,7,11,20
Ethereum,ETH-USD,🔴 BAJISTA,📉 CONSIDERAR VENTA,21.12,3272.3095703125,3261.319613979642,-0.3358470858797325,Bajista,82.92682926829268,bajista,0.5058852992737286,0.3358470858797358,4,15,20
Microsoft,MSFT,🔴 BAJISTA,🛑 VENTA FUERTE,19.83,511.7250061035156,510.0967322029332,-0.31819314693662804,Bajista,68.88888888888889,bajista,30.302566288545037,0.31819314693662437,7,13,20
Illumina,ILMN,🔴 BAJISTA,🛑 VENTA FUERTE,17.0,117.70349884033203,116.05750291821317,-1.39842565287859,Bajista,73.33333333333333,bajista,36.732107530830284,1.3984256528785852,6,13,20
