activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,249.69000244140625,256.9203561205348,2.89573215124032,Alcista,90.0,alcista,74.0824267238074,2.895732151240317,3,1,5
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,234.94000244140625,243.9889175827884,3.851585531348127,Alcista,66.66666666666666,alcista,60.25221541044781,3.8515855313481304,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,200.0500030517578,205.08189849237257,2.5153188522136074,Alcista,90.0,alcista,70.69177986363898,2.515318852213604,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,265.92498779296875,277.3914270470082,4.31190741013269,Alcista,66.66666666666666,alcista,60.925837688192495,4.31190741013269,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101298.484375,103630.78107334557,2.3024003890438958,Alcista,75.0,bajista,35.87721962430079,2.3024003890439024,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3295.328369140625,3435.7289151877235,4.260593492347865,Alcista,75.0,bajista,30.54807528482067,4.260593492347865,15,4,20
NASDAQ,^IXIC,🟢 ALCISTA,✅ COMPRA,70.0,23434.865234375,23434.865234375,0.0,Neutral/Lateral,50.0,alcista,62.601437111565374,1.3359198326277377,2,0,3
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.57000732421875,190.57000732421875,0.0,Neutral/Lateral,50.0,alcista,58.064530629528306,3.0142263433508445,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,630.8499755859375,649.0723080953795,2.888536611659057,Alcista,90.0,bajista,23.869791637924223,2.888536611659072,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,355.0299987792969,362.84932650055845,2.2024414128797125,Alcista,90.0,alcista,72.07978188478671,2.202441412879714,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,175.1699981689453,175.1699981689453,0.0,Neutral/Lateral,50.0,alcista,62.72423885072069,3.5127566385064446,3,1,4
