activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,270.4856872558594,274.5626896211243,1.5072895008335152,Alcista,90.0,alcista,77.63011717943135,1.5072895008335112,4,1,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,263.7650146484375,275.16545039106927,4.322194039959008,Alcista,66.66666666666666,alcista,59.6598112345867,4.322194039959026,4,4,10
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,249.77000427246094,256.99954160563885,2.894477803384106,Alcista,90.0,alcista,74.1661848878956,2.894477803384092,3,1,5
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23404.900390625,23404.900390625,0.0,Neutral/Lateral,50.0,alcista,61.9893130335357,1.3445842954025957,2,0,2
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,234.8699951171875,243.92109898976025,3.8536654578021934,Alcista,66.66666666666666,alcista,60.203001837961715,3.8536654578021836,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,199.75830078125,204.80385611753508,2.525830123980845,Alcista,90.0,alcista,70.27224284080026,2.525830123980836,4,2,8
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,100328.953125,102701.31154212572,2.364580057134653,Alcista,75.0,bajista,34.558832238517454,2.3645800571346527,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3282.703857421875,3423.265753479188,4.281893894860971,Alcista,75.0,bajista,30.29219539606332,4.281893894860976,15,4,20
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,70.0,6775.18994140625,6775.18994140625,0.0,Neutral/Lateral,50.0,alcista,59.454803081462984,0.9346976116750947,3,2,6
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.60000610351562,190.60000610351562,0.0,Neutral/Lateral,50.0,alcista,58.090199155886644,3.012222733993628,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,630.10498046875,648.3131136478502,2.88969834289434,Alcista,90.0,bajista,23.76308046958752,2.8896983428943326,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,353.17999267578125,361.13849234519756,2.2533834969304745,Alcista,90.0,alcista,70.5308442369843,2.253383496930465,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.9600067138672,174.9600067138672,0.0,Neutral/Lateral,50.0,alcista,62.450686202150685,3.518318404680041,3,1,4
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,66.36,358.7699890136719,358.7699890136719,0.0,Neutral/Lateral,50.0,alcista,54.1536386633882,3.242753927160564,6,2,11
Illumina,ILMN,🟢 ALCISTA,✅ COMPRA,65.0,117.80999755859375,124.94317540989243,6.054815379951893,Alcista,66.66666666666666,alcista,73.69626997706081,6.0548153799519016,4,2,8
Tesla,TSLA,🟢 ALCISTA,✅ COMPRA,62.0,448.03009033203125,448.03009033203125,0.0,Neutral/Lateral,50.0,alcista,54.11189642644824,3.117380372972773,4,3,10
Dow Jones,^DJI,🟢 ALCISTA,✅ COMPRA,62.0,47031.078125,47031.078125,0.0,Neutral/Lateral,50.0,alcista,61.17275519697614,0.7376526880865348,4,6,10
AMD,AMD,🟢 ALCISTA,✅ COMPRA,61.25,252.26319885253906,252.26319885253906,0.0,Neutral/Lateral,50.0,alcista,58.287073002383856,4.432446440727618,3,2,8
Advanced Micro Devices,AMD,🟢 ALCISTA,✅ COMPRA,61.25,252.26319885253906,252.26319885253906,0.0,Neutral/Lateral,50.0,alcista,58.287073002383856,4.432446440727618,3,2,8
Datadog,DDOG,🟢 ALCISTA,✅ COMPRA,61.25,157.1260986328125,161.19588392622816,2.5901395941398198,Alcista,66.66666666666666,bajista,45.72209533081214,2.5901395941398344,3,3,8
Google,GOOGL,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.86,277.260009765625,277.260009765625,0.0,Neutral/Lateral,50.0,alcista,73.62640534374228,1.8493101079467313,3,2,7
Robinhood,HOOD,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,139.6999969482422,139.6999969482422,0.0,Neutral/Lateral,50.0,bajista,54.4535424717776,3.972243753341827,2,0,3
Snowflake,SNOW,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,265.43499755859375,265.43499755859375,0.0,Neutral/Lateral,50.0,alcista,70.04974881591046,2.6379783937738495,6,3,12
Oro,GC=F,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,41.36,3951.5,3951.5,0.0,Neutral/Lateral,50.0,bajista,38.65742458456087,2.1693267244734082,6,3,11
Intel,INTC,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.48,37.71080017089844,36.65387063708254,-2.8027236999111276,Bajista,69.23076923076923,alcista,52.49928086809931,2.802723699911129,3,4,8
NIO,NIO,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,7.2677998542785645,7.2677998542785645,0.0,Neutral/Lateral,50.0,bajista,63.231296906727295,3.824433037497046,3,2,6
Netflix,NFLX,🟡 NEUTRAL,⚠️ PRECAUCIÓN,35.71,1094.1700439453125,1094.1700439453125,0.0,Neutral/Lateral,50.0,bajista,31.827863870237223,2.680162423010441,5,5,14
Plata,SI=F,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,31.67,47.13999938964844,47.13999938964844,0.0,Neutral/Lateral,50.0,bajista,37.815219603374445,3.247912132132373,2,5,9
Microsoft,MSFT,🔴 BAJISTA,📉 CONSIDERAR VENTA,24.23,511.0107116699219,505.25070249444786,-1.1271797330140085,Bajista,69.23076923076923,bajista,48.09022198474298,1.1271797330140017,4,4,12
