activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Plata,SI=F,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,100.0,47.58000183105469,48.10476269388917,1.102902149305889,Alcista,90,alcista,,1.102902149305891,1,0,1
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,97.0,271.0185852050781,272.3867798057059,0.5048342347416711,Alcista,90,alcista,,0.5048342347416896,2,0,3
Google,GOOGL,🟢 ALCISTA,✅ COMPRA,65.0,278.9100036621094,278.9100036621094,0.0,Neutral/Lateral,50,alcista,,1.7524985517159282,0,0,0
Oro,GC=F,🟢 ALCISTA,✅ COMPRA,65.0,3984.0,3984.0,0.0,Neutral/Lateral,50,alcista,,0.48717646443792806,0,0,0
Amazon,AMZN,🟢 ALCISTA,✅ COMPRA,60.0,251.63999938964844,251.63999938964844,0.0,Neutral/Lateral,50,alcista,,4.486548832215036,0,0,0
NVIDIA,NVDA,🟢 ALCISTA,✅ COMPRA,60.0,201.75,201.75,0.0,Neutral/Lateral,50,alcista,,2.9562866729378143,0,0,0
Tesla,TSLA,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,452.8800048828125,452.8800048828125,0.0,Neutral/Lateral,50,alcista,,3.358158531231168,0,0,1
S&P 500,^GSPC,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,6801.43994140625,6801.43994140625,0.0,Neutral/Lateral,50,bajista,,0.5449250953287,0,0,0
NASDAQ,^IXIC,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,23535.701171875,23535.701171875,0.0,Neutral/Lateral,50,bajista,,1.0546749522725365,0,0,0
Bitcoin,BTC-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,102714.875,102714.875,0.0,Neutral/Lateral,50,bajista,,2.1627429195824726,1,1,2
Ethereum,ETH-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,3461.181884765625,3461.181884765625,0.0,Neutral/Lateral,50,bajista,,3.590427238800226,1,1,2
Dow Jones,^DJI,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,30.0,47169.1015625,47169.1015625,0.0,Neutral/Lateral,50,bajista,,0.2993627881527337,0,0,1
Meta,META,🟠 NEUTRAL-BAJISTA,📉 CONSIDERAR VENTA,25.0,632.5800170898438,632.5800170898438,0.0,Neutral/Lateral,50,bajista,,4.346656418648556,0,0,1
Microsoft,MSFT,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,513.344970703125,504.960563954562,-1.6332889629908944,Bajista,90,bajista,,1.633288962990902,0,3,3
Netflix,NFLX,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,1094.0,1076.8577226710754,-1.566935770468427,Bajista,90,bajista,,1.5669357704684286,0,1,2
