activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.86,234.22999572753906,243.30191539814902,3.873081943425637,Alcista,66.66666666666666,alcista,59.7567959908359,3.873081943425631,3,2,7
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,270.7012939453125,274.7837862428671,1.5081170237698827,Alcista,90.0,alcista,77.7554534106716,1.5081170237698651,4,1,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,263.7674865722656,275.16798716587294,4.32217812049548,Alcista,66.66666666666666,alcista,59.661282558650406,4.322178120495498,4,4,10
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,249.77000427246094,256.99954160563885,2.894477803384106,Alcista,90.0,alcista,74.1661848878956,2.894477803384092,3,1,5
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,200.21499633789062,205.23943369973776,2.509520991808075,Alcista,90.0,alcista,70.93130488597818,2.5095209918080763,4,2,8
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101347.15625,103677.67542144058,2.2995407643128427,Alcista,75.0,bajista,35.94606131949077,2.2995407643128454,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3305.47607421875,3445.7628365098876,4.244071327132339,Alcista,75.0,bajista,30.756909350414645,4.244071327132336,15,4,20
NASDAQ,^IXIC,🟢 ALCISTA,✅ COMPRA,70.0,23441.97265625,23441.97265625,0.0,Neutral/Lateral,50.0,alcista,62.748406001678674,1.333939221436441,2,0,3
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.2849731445312,649.516244096971,2.8879621293101456,Alcista,90.0,bajista,23.932543901130884,2.8879621293101443,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,353.5238037109375,361.4554648028489,2.2436002918764704,Alcista,90.0,alcista,70.81364728509598,2.2436002918764784,2,4,9
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,68.0,191.60000610351562,191.60000610351562,0.0,Neutral/Lateral,50.0,alcista,58.959033113374744,2.9465925780745374,6,0,10
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.77999877929688,174.77999877929688,0.0,Neutral/Lateral,50.0,alcista,62.21808487463037,3.5232243133150405,3,1,4
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,65.0,6782.3701171875,6782.3701171875,0.0,Neutral/Lateral,50.0,alcista,60.240272183894824,0.9285141543505231,3,2,6
Illumina,ILMN,🟢 ALCISTA,✅ COMPRA,65.0,117.69999694824219,124.82896516456402,6.056897537097435,Alcista,66.66666666666666,alcista,73.5417401707204,6.056897537097445,4,2,8
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,65.0,357.3500061035156,357.3500061035156,0.0,Neutral/Lateral,50.0,alcista,53.308428657394884,3.252391217047453,6,3,12
