activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,84.5,249.61000061035156,256.8412079758667,2.8970022626630594,Alcista,90.0,alcista,73.99885752767699,2.897002262663048,3,1,4
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23428.33203125,23428.33203125,0.0,Neutral/Lateral,50.0,alcista,62.466948016624094,1.3377657607953732,2,0,2
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,235.2100067138672,244.2506455779255,3.8436455108205663,Alcista,66.66666666666666,alcista,60.44277829681049,3.84364551082058,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,200.08819580078125,205.11834747965204,2.5139672326692817,Alcista,90.0,alcista,70.74708126210118,2.5139672326692817,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,265.5799865722656,277.03461742205064,4.3130625156004205,Alcista,66.66666666666666,alcista,60.76000293951028,4.313062515600411,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101392.3515625,103721.24105528151,2.29690845206006,Alcista,75.0,bajista,36.010222729745294,2.2969084520600496,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3307.755859375,3448.0190517107053,4.2404336444047,Alcista,75.0,bajista,30.80421944153248,4.240433644404686,15,4,20
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.69500732421875,190.69500732421875,0.0,Neutral/Lateral,50.0,alcista,58.17163711956018,3.0058907337156056,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,630.6325073242188,648.8505504425044,2.888852526106692,Alcista,90.0,bajista,23.838543128699015,2.888852526106698,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,354.6050109863281,362.4551484132338,2.213769457197082,Alcista,90.0,alcista,71.71796725807067,2.213769457197101,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.9199981689453,174.9199981689453,0.0,Neutral/Lateral,50.0,alcista,62.398838064593555,3.5193977800832754,3,1,4
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,65.0,6781.169921875,6781.169921875,0.0,Neutral/Lateral,50.0,alcista,60.107536424422854,0.9295114504578909,3,2,6
Illumina,ILMN,🟢 ALCISTA,✅ COMPRA,65.0,117.58000183105469,124.70446031216447,6.059243383365984,Alcista,66.66666666666666,alcista,73.37390735553123,6.0592433833659936,4,2,8
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,65.0,357.6400146484375,357.6400146484375,0.0,Neutral/Lateral,50.0,alcista,53.47889832558869,3.25024265083529,6,3,12
Tesla,TSLA,🟢 ALCISTA,✅ COMPRA,62.0,448.7699890136719,448.7699890136719,0.0,Neutral/Lateral,50.0,alcista,54.368743485550546,3.1065709426861146,4,3,10
Dow Jones,^DJI,🟢 ALCISTA,✅ COMPRA,62.0,47058.19921875,47058.19921875,0.0,Neutral/Lateral,50.0,alcista,61.65315392759223,0.7351043199317051,4,6,10
