activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,84.5,251.4600067138672,258.681180825203,2.871698846151979,Alcista,90.0,alcista,75.98088001673672,2.8716988461519692,3,1,4
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,81.14,268.3399963378906,279.9028545689147,4.309032715519693,Alcista,75.0,alcista,61.86087953632157,4.30903271551969,5,4,11
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23508.40625,23508.40625,0.0,Neutral/Lateral,50.0,alcista,64.15625397834724,1.3168379517009436,2,0,2
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,237.63499450683594,246.61351179646215,3.7782807655325907,Alcista,66.66666666666666,alcista,62.20988854620729,3.778280765532586,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,201.19500732421875,206.17926073190938,2.4773245986460686,Alcista,90.0,alcista,72.3881525361451,2.477324598646059,4,2,8
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,102236.1171875,104538.4092921733,2.2519361728604337,Alcista,75.0,bajista,37.251576837744906,2.2519361728604252,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3431.268310546875,3571.4698685787903,4.085998101663171,Alcista,75.0,bajista,33.604667440212665,4.085998101663164,15,4,20
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.25,649.4805346234824,2.888005484908105,Alcista,90.0,bajista,23.927486519707728,2.888005484908097,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,353.0199890136719,360.99112525174763,2.2579843878945476,Alcista,90.0,alcista,70.40000141530797,2.2579843878945476,2,4,9
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,68.0,192.57000732421875,192.57000732421875,0.0,Neutral/Lateral,50.0,alcista,59.827000549307535,2.8851795644311578,6,0,10
