activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,89.5,0,259.7146093516245,0,Alcista,90.0,N/A,50,0,3,1,4
Bitcoin,BTC-USD,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,88.0,0,105089.3897701787,0,Alcista,75.0,N/A,50,0,17,3,20
Ethereum,ETH-USD,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,85.0,0,3603.2742622695296,0,Alcista,75.0,N/A,50,0,15,4,20
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,0,274.8646324654266,0,Alcista,90.0,N/A,50,0,4,1,8
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,0,206.318918263853,0,Alcista,90.0,N/A,50,0,4,2,8
Oro,GC=F,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,78.0,0,4067.560559995852,0,Alcista,66.66666666666666,N/A,50,0,6,2,10
Meta,META,🟢 ALCISTA,🚀 COMPRA FUERTE,74.5,0,649.6484521863409,0,Alcista,90.0,N/A,50,0,2,0,8
S&P 500,^GSPC,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,55.0,0,6799.64990234375,0,Neutral/Lateral,50.0,N/A,50,0,3,2,6
Tesla,TSLA,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.0,0,452.189208984375,0,Neutral/Lateral,50.0,N/A,50,0,4,3,10
Microsoft,MSFT,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.91,0,513.4299926757812,0,Neutral/Lateral,50.0,N/A,50,0,4,3,11
Dow Jones,^DJI,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.91,0,47156.3203125,0,Neutral/Lateral,50.0,N/A,50,0,4,6,11
Netflix,NFLX,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.71,0,1092.4000244140625,0,Neutral/Lateral,50.0,N/A,50,0,5,5,14
Plata,SI=F,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,46.67,0,47.38999938964844,0,Neutral/Lateral,50.0,N/A,50,0,2,5,9
