activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,249.66000366210938,256.8906730823577,2.8962065666050094,Alcista,90.0,alcista,74.05106815790936,2.8962065666049983,3,1,5
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23430.810546875,23430.810546875,0.0,Neutral/Lateral,50.0,alcista,62.517901356775006,1.3370626168638342,2,0,2
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,235.0800018310547,244.1245928046491,3.8474523154438716,Alcista,66.66666666666666,alcista,60.3508735610563,3.8474523154438804,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,199.97999572753906,205.01511450546548,2.5178112238718446,Alcista,90.0,alcista,70.59063653452984,2.5178112238718384,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,264.614990234375,276.03915862752666,4.3172793737169,Alcista,66.66666666666666,alcista,60.17004293985718,4.317279373716917,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101070.71875,103411.63956464379,2.316121665696365,Alcista,75.0,bajista,35.55854002002326,2.316121665696375,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3290.2939453125,3430.756238137781,4.268989189412392,Alcista,75.0,bajista,30.445518602212857,4.268989189412394,15,4,20
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.80999755859375,190.80999755859375,0.0,Neutral/Lateral,50.0,alcista,58.270516259359404,2.9982532146205036,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.7449951171875,649.9862399105633,2.8874379590442336,Alcista,90.0,bajista,23.999266120473862,2.887437959044223,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,354.70001220703125,362.5432007833682,2.2112174531753457,Alcista,90.0,alcista,71.79853124416992,2.2112174531753364,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.75,174.75,0.0,Neutral/Lateral,50.0,alcista,62.17948960660331,3.5240542641809363,3,1,4
