activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,270.6300048828125,274.71062097169215,1.5078210158724377,Alcista,90.0,alcista,77.71416744397426,1.5078210158724357,4,1,8
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,249.73500061035156,256.9648905236508,2.8950246844172494,Alcista,90.0,alcista,74.12951440235554,2.8950246844172542,3,1,5
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,234.6300048828125,243.6887446994538,3.8608616238855467,Alcista,66.66666666666666,alcista,60.03490258875661,3.860861623885546,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,200.17080688476562,205.19722254235418,2.511063294300535,Alcista,90.0,alcista,70.86699491041651,2.511063294300536,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,264.77899169921875,276.2080719613419,4.3164603765491485,Alcista,66.66666666666666,alcista,60.269497433928976,4.316460376549163,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101057.6640625,103399.09427981789,2.316924934926073,Alcista,75.0,bajista,35.54044593348118,2.3169249349260745,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3289.73828125,3430.207601622176,4.269923877312264,Alcista,75.0,bajista,30.434241302382148,4.269923877312266,15,4,20
NASDAQ,^IXIC,🟢 ALCISTA,✅ COMPRA,70.0,23433.146484375,23433.146484375,0.0,Neutral/Lateral,50.0,alcista,62.565999722106426,1.3364031100403053,2,0,3
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.5,190.5,0.0,Neutral/Lateral,50.0,alcista,58.00471684556911,3.0189098026493966,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.6849975585938,649.924911098935,2.887501462095333,Alcista,90.0,bajista,23.990542903035916,2.8875014620953294,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,353.4750061035156,361.41045008254605,2.2449802226487603,Alcista,90.0,alcista,70.77337061106309,2.2449802226487647,2,4,9
