activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,84.5,249.57000732421875,256.80165542266167,2.897643100618343,Alcista,90.0,alcista,73.95715154450035,2.8976431006183505,3,1,4
NASDAQ,^IXIC,🟢 MUY ALCISTA,✅ COMPRA,80.0,23422.177734375,23422.177734375,0.0,Neutral/Lateral,50.0,alcista,62.340786376851725,1.3395267346514639,2,0,2
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,235.19000244140625,244.23124544384802,3.844229307618742,Alcista,66.66666666666666,alcista,60.428618399891356,3.8442293076187397,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,199.93499755859375,204.97220658211202,2.5194233551042244,Alcista,90.0,alcista,70.52577793355923,2.5194233551042227,4,2,8
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,265.8599853515625,277.32416258758394,4.312110835657227,Alcista,66.66666666666666,alcista,60.90003602338979,4.312110835657239,4,4,10
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,101313.3359375,103645.08778295771,2.301525089348712,Alcista,75.0,bajista,35.898197763421734,2.3015250893487034,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3300.39794921875,3440.73985179202,4.252272142106104,Alcista,75.0,bajista,30.652048699747937,4.252272142106099,15,4,20
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,70.0,6779.81982421875,6779.81982421875,0.0,Neutral/Lateral,50.0,alcista,59.9589195685571,0.9306507924339876,3,2,6
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,70.0,190.39999389648438,190.39999389648438,0.0,Neutral/Lateral,50.0,alcista,57.9194857476205,3.025618763061149,6,0,9
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,630.5499877929688,648.766434494497,2.888977409275501,Alcista,90.0,bajista,23.82670711195658,2.8889774092754896,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,355.0299987792969,362.84932650055845,2.2024414128797125,Alcista,90.0,alcista,72.07978188478671,2.202441412879714,2,4,9
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,175.03860473632812,175.03860473632812,0.0,Neutral/Lateral,50.0,alcista,62.55279478264072,3.5162163013935293,3,1,4
Illumina,ILMN,🟢 ALCISTA,✅ COMPRA,65.0,117.41000366210938,124.52821958199014,6.062699683040691,Alcista,66.66666666666666,alcista,73.13744422948756,6.062699683040703,4,2,8
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,65.0,357.6199951171875,357.6199951171875,0.0,Neutral/Lateral,50.0,alcista,53.467095637277374,3.2503880016153897,6,3,12
Tesla,TSLA,🟢 ALCISTA,✅ COMPRA,62.0,448.5899963378906,448.5899963378906,0.0,Neutral/Lateral,50.0,alcista,54.30603698951108,3.1091687956285052,4,3,10
Dow Jones,^DJI,🟢 ALCISTA,✅ COMPRA,62.0,47054.75,47054.75,0.0,Neutral/Lateral,50.0,alcista,61.59163919921987,0.7354171105680845,4,6,10
AMD,AMD,🟢 ALCISTA,✅ COMPRA,61.25,252.99000549316406,252.99000549316406,0.0,Neutral/Lateral,50.0,alcista,58.80553395039538,4.420348788704864,3,2,8
Advanced Micro Devices,AMD,🟢 ALCISTA,✅ COMPRA,61.25,252.99000549316406,252.99000549316406,0.0,Neutral/Lateral,50.0,alcista,58.80553395039538,4.420348788704864,3,2,8
Datadog,DDOG,🟢 ALCISTA,✅ COMPRA,61.25,157.5050048828125,161.56343975508227,2.5767021659339298,Alcista,66.66666666666666,bajista,46.24009226912985,2.5767021659339417,3,3,8
Apple,AAPL,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.86,269.9100036621094,269.9100036621094,0.0,Neutral/Lateral,50.0,alcista,77.28843545677213,1.5060729133181856,3,1,7
Google,GOOGL,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.86,277.9599914550781,277.9599914550781,0.0,Neutral/Lateral,50.0,alcista,74.56669300277893,1.8314710015499642,3,2,7
Robinhood,HOOD,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,140.0,140.0,0.0,Neutral/Lateral,50.0,bajista,54.71698763203496,3.9597888381596427,2,0,3
Snowflake,SNOW,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,266.989990234375,266.989990234375,0.0,Neutral/Lateral,50.0,alcista,71.87340096447309,2.5905454894025013,6,3,12
Microsoft,MSFT,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,512.5999755859375,512.5999755859375,0.0,Neutral/Lateral,50.0,bajista,49.3279220490396,1.1153481921026678,4,3,12
Oro,GC=F,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,41.36,3949.89990234375,3949.89990234375,0.0,Neutral/Lateral,50.0,bajista,38.5952706641049,2.170492847905456,6,3,11
Intel,INTC,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.48,37.59989929199219,36.53699357450116,-2.8268844797608246,Bajista,69.23076923076923,alcista,51.98540933390525,2.826884479760825,3,4,8
NIO,NIO,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,7.264999866485596,7.264999866485596,0.0,Neutral/Lateral,50.0,bajista,63.12684440468455,3.825386932591638,3,2,6
Netflix,NFLX,🟡 NEUTRAL,⚠️ PRECAUCIÓN,35.71,1089.530029296875,1089.530029296875,0.0,Neutral/Lateral,50.0,bajista,31.34347062912198,2.6839633422687914,5,5,14
Plata,SI=F,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,31.67,47.06999969482422,47.06999969482422,0.0,Neutral/Lateral,50.0,bajista,37.651911903039974,3.251483836011362,2,5,9
Shopify,SHOP,🔴 MUY BAJISTA,🛑 VENTA FUERTE,10.5,164.10000610351562,159.28994462475106,-2.9311769042411497,Bajista,90.0,bajista,59.04608951986074,2.9311769042411524,1,1,4
