activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
First Solar,FSLR,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,82.0,263.9599914550781,275.3656168504605,4.320967481666046,Alcista,66.66666666666666,alcista,59.77608750893426,4.320967481666046,4,4,10
Amazon,AMZN,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,80.0,250.01780700683594,257.2450536534991,2.8906927603222896,Alcista,90.0,alcista,74.42682882757722,2.890692760322307,3,1,5
Cloudflare,NET,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.86,234.75999450683594,243.8145728867282,3.8569511806785304,Alcista,66.66666666666666,alcista,60.12583608167486,3.856951180678534,3,2,7
NVIDIA,NVDA,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,77.0,200.40939331054688,205.42529560885194,2.502827944063785,Alcista,90.0,alcista,71.21560719010488,2.5028279440637795,4,2,8
Bitcoin,BTC-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,73.0,100958.125,103303.49238210903,2.3231090931106677,Alcista,75.0,bajista,35.40308573030225,2.323109093110654,17,3,20
Ethereum,ETH-USD,🟢 ALCISTA,🚀 COMPRA FUERTE,70.0,3291.6748046875,3432.1198158763896,4.2666733356797355,Alcista,75.0,bajista,30.473579609896248,4.266673335679748,15,4,20
NASDAQ,^IXIC,🟢 ALCISTA,✅ COMPRA,70.0,23447.416015625,23447.416015625,0.0,Neutral/Lateral,50.0,alcista,62.86143250653095,1.3324418297559515,2,0,3
Meta,META,🟢 ALCISTA,✅ COMPRA,69.5,631.75,649.991356256879,2.8874327276421123,Alcista,90.0,bajista,23.999994081437208,2.887432727642107,2,0,8
MongoDB,MDB,🟢 ALCISTA,✅ COMPRA,68.67,354.8349914550781,362.66836787778766,2.2076110336771095,Alcista,90.0,alcista,71.91330961852213,2.207611033677104,2,4,9
Palantir,PLTR,🟢 ALCISTA,✅ COMPRA,68.0,192.42010498046875,192.42010498046875,0.0,Neutral/Lateral,50.0,alcista,59.69120062255255,2.894519765809602,6,0,10
Qualcomm,QCOM,🟢 ALCISTA,✅ COMPRA,67.5,174.7100067138672,174.7100067138672,0.0,Neutral/Lateral,50.0,alcista,62.128110201293154,3.5251662096074434,3,1,4
Broadcom,AVGO,🟢 ALCISTA,✅ COMPRA,66.36,358.9599914550781,358.9599914550781,0.0,Neutral/Lateral,50.0,alcista,54.268770330526635,3.2416331650322796,6,2,11
S&P 500,^GSPC,🟢 ALCISTA,✅ COMPRA,65.0,6781.41015625,6781.41015625,0.0,Neutral/Lateral,50.0,alcista,60.134058331696615,0.9293106561322597,3,2,6
